ProductID,ProductName,Category,Brand,Price,StoreName,Specifications
101,Laptop TUF Gaming F15 FX507ZC4,Laptop,ASUS,58500000,Digikala,"{""CPU"": ""Intel Core i5-12500H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB SSD"", ""GPU"": ""NVIDIA RTX 3050"", ""Screen"": ""15.6-inch FHD 144Hz""}"
102,Laptop Legion 5 Pro,Laptop,Lenovo,89000000,Technolife,"{""CPU"": ""AMD Ryzen 7 6800H"", ""RAM"": ""32GB DDR5"", ""Storage"": ""1TB SSD"", ""GPU"": ""NVIDIA RTX 3070Ti"", ""Screen"": ""16-inch QHD 165Hz""}"
103,MacBook Air M2,Laptop,Apple,71000000,Digistore,"{""CPU"": ""Apple M2"", ""RAM"": ""8GB Unified"", ""Storage"": ""256GB SSD"", ""GPU"": ""Integrated 8-core"", ""Screen"": ""13.6-inch Liquid Retina""}"
104,Laptop Victus 16,Laptop,HP,65000000,Shahr-Sakhtafzar,"{""CPU"": ""Intel Core i7-13700H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""1TB SSD"", ""GPU"": ""NVIDIA RTX 4060"", ""Screen"": ""16.1-inch FHD 144Hz""}"
105,Laptop ROG Strix G16,Laptop,ASUS,110000000,LionComputer,"{""CPU"": ""Intel Core i9-13980HX"", ""RAM"": ""32GB DDR5"", ""Storage"": ""2TB SSD"", ""GPU"": ""NVIDIA RTX 4080"", ""Screen"": ""16-inch QHD 240Hz""}"
106,Laptop XPS 15,Laptop,Dell,95000000,Digikala,"{""CPU"": ""Intel Core i7-13700H"", ""RAM"": ""16GB DDR5"", ""Storage"": ""1TB SSD"", ""GPU"": ""NVIDIA RTX 4050"", ""Screen"": ""15.6-inch OLED 3.5K""}"
107,MacBook Pro 14 M2 Pro,Laptop,Apple,125000000,Digistore,"{""CPU"": ""Apple M2 Pro"", ""RAM"": ""16GB Unified"", ""Storage"": ""512GB SSD"", ""GPU"": ""Integrated 16-core"", ""Screen"": ""14.2-inch Liquid Retina XDR""}"
108,Laptop Swift Go 14,Laptop,Acer,48000000,Technolife,"{""CPU"": ""Intel Core i5-1335U"", ""RAM"": ""16GB LPDDR5"", ""Storage"": ""512GB SSD"", ""GPU"": ""Intel Iris Xe"", ""Screen"": ""14-inch OLED 2.8K""}"
109,Laptop IdeaPad Gaming 3,Laptop,Lenovo,49900000,Digikala,"{""CPU"": ""AMD Ryzen 5 7535HS"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB SSD"", ""GPU"": ""NVIDIA RTX 2050"", ""Screen"": ""15.6-inch FHD 120Hz""}"
110,Laptop Vivobook Pro 15,Laptop,ASUS,62000000,Shahr-Sakhtafzar,"{""CPU"": ""AMD Ryzen 9 5900HX"", ""RAM"": ""16GB DDR4"", ""Storage"": ""1TB SSD"", ""GPU"": ""NVIDIA RTX 3050Ti"", ""Screen"": ""15.6-inch OLED FHD""}"
